"V1" "V4"
"ENSG00000133030" 16
"ENSG00000155561" 42
"ENSG00000004809" 28
"ENSG00000010322" 21
"ENSG00000184363" 14
"ENSG00000159409" 14
"ENSG00000156006" 9
"ENSG00000196136" 17
"ENSG00000126001" 37
"ENSG00000177125" 6
"ENSG00000272047" 1
"ENSG00000114771" 13
"ENSG00000120688" 7
"ENSG00000127837" 3
"ENSG00000129673" 6
"ENSG00000197150" 11
"ENSG00000156076" 17
"ENSG00000183044" 13
"ENSG00000107651" 19
"ENSG00000165029" 39
"ENSG00000011523" 11
"ENSG00000115687" 34
"ENSG00000143344" 18
"ENSG00000162620" 38
"ENSG00000178965" 68
"ENSG00000162623" 4
"ENSG00000140807" 14
"ENSG00000100304" 11
"ENSG00000188060" 2
"ENSG00000152642" 5
"ENSG00000135392" 12
"ENSG00000164024" 10
"ENSG00000144597" 3
"ENSG00000140948" 17
"ENSG00000134324" 19
"ENSG00000109511" 13
"ENSG00000092201" 21
"ENSG00000214643" 4
"ENSG00000107331" 25
"ENSG00000167972" 42
"ENSG00000131269" 13
"ENSG00000204574" 13
"ENSG00000170561" 19
"ENSG00000198691" 60
"ENSG00000147475" 2
"ENSG00000097007" 16
"ENSG00000002726" 30
"ENSG00000170917" 6
"ENSG00000189167" 8
"ENSG00000143322" 24
"ENSG00000165609" 1
"ENSG00000159842" 14
"ENSG00000173598" 2
"ENSG00000014164" 19
"ENSG00000154007" 16
"ENSG00000165810" 13
"ENSG00000221944" 12
"ENSG00000136274" 26
"ENSG00000130475" 23
